Date,Open,High,Low,Close,Volume,Market Cap
Dec-06-2012,13.299,13.299,13.299,13.299,0,0
Dec-07-2012,13.4999,13.4999,13.4999,13.4999,0,0
Dec-08-2012,13.4201,13.4201,13.4201,13.4201,0,0
Dec-09-2012,13.388,13.388,13.388,13.388,0,0
Dec-10-2012,13.4334,13.4334,13.4334,13.4334,0,0
Dec-11-2012,13.557,13.557,13.557,13.557,0,0
Dec-12-2012,13.6989,13.6989,13.6989,13.6989,0,0
Dec-13-2012,13.7001,13.7001,13.7001,13.7001,0,0
Dec-14-2012,13.6,13.6,13.6,13.6,0,0
Dec-15-2012,13.4901,13.4901,13.4901,13.4901,0,0
Dec-16-2012,13.3,13.3,13.3,13.3,0,0
Dec-17-2012,13.2501,13.2501,13.2501,13.2501,0,0
Dec-18-2012,13.299,13.299,13.299,13.299,0,0
Dec-19-2012,13.599,13.599,13.599,13.599,0,0
Dec-20-2012,13.5246,13.5246,13.5246,13.5246,0,0
Dec-21-2012,13.5,13.5,13.5,13.5,0,0
Dec-22-2012,13.3714,13.3714,13.3714,13.3714,0,0
Dec-23-2012,13.312,13.312,13.312,13.312,0,0
Dec-24-2012,13.38,13.38,13.38,13.38,0,0
Dec-25-2012,13.35,13.35,13.35,13.35,0,0
Dec-26-2012,13.4679,13.4679,13.4679,13.4679,0,0
Dec-27-2012,13.4217,13.4217,13.4217,13.4217,0,0
Dec-28-2012,13.4212,13.4212,13.4212,13.4212,0,0
Dec-29-2012,13.4,13.4,13.4,13.4,0,0
Dec-30-2012,13.45,13.45,13.45,13.45,0,0
Dec-31-2012,13.51,13.51,13.51,13.51,0,0
Jan-01-2013,13.3041,13.3041,13.3041,13.3041,0,0
Jan-02-2013,13.28,13.28,13.28,13.28,0,0
Jan-03-2013,13.3979,13.3979,13.3979,13.3979,0,0
Jan-04-2013,13.5,13.5,13.5,13.5,0,0
Jan-05-2013,13.44,13.44,13.44,13.44,0,0
Jan-06-2013,13.454,13.454,13.454,13.454,0,0
Jan-07-2013,13.5876,13.5876,13.5876,13.5876,0,0
Jan-08-2013,13.7428,13.7428,13.7428,13.7428,0,0
Jan-09-2013,13.77,13.77,13.77,13.77,0,0
Jan-10-2013,14.14,14.14,14.14,14.14,0,0
Jan-11-2013,14.137,14.137,14.137,14.137,0,0
Jan-12-2013,14.237,14.237,14.237,14.237,0,0
Jan-13-2013,14.116,14.116,14.116,14.116,0,0
Jan-14-2013,14.3,14.3,14.3,14.3,0,0
Jan-15-2013,14.25,14.25,14.25,14.25,0,0
Jan-16-2013,14.73,14.73,14.73,14.73,0,0
Jan-17-2013,15.5,15.5,15.5,15.5,0,0
Jan-18-2013,15.705,15.705,15.705,15.705,0,0
Jan-19-2013,15.615,15.615,15.615,15.615,0,0
Jan-20-2013,15.7,15.7,15.7,15.7,0,0
Jan-21-2013,16.8,16.8,16.8,16.8,0,0
Jan-22-2013,17.2614,17.2614,17.2614,17.2614,0,0
Jan-23-2013,17.5,17.5,17.5,17.5,0,0
Jan-24-2013,16.896,16.896,16.896,16.896,0,0
Jan-25-2013,17.4,17.4,17.4,17.4,0,0
Jan-26-2013,17.88,17.88,17.88,17.88,0,0
Jan-27-2013,17.8182,17.8182,17.8182,17.8182,0,0
Jan-28-2013,18.721,18.721,18.721,18.721,0,0
Jan-29-2013,19.5254,19.5254,19.5254,19.5254,0,0
Jan-30-2013,19.7,19.7,19.7,19.7,0,0
Jan-31-2013,20.41,20.41,20.41,20.41,0,0
Feb-01-2013,20.499,20.499,20.499,20.499,0,0
Feb-02-2013,19.63,19.63,19.63,19.63,0,0
Feb-03-2013,20.59,20.59,20.59,20.59,0,0
Feb-04-2013,20.4301,20.4301,20.4301,20.4301,0,0
Feb-05-2013,20.6,20.6,20.6,20.6,0,0
Feb-06-2013,21.18,21.18,21.18,21.18,0,0
Feb-07-2013,22.15,22.15,22.15,22.15,0,0
Feb-08-2013,22.66,22.66,22.66,22.66,0,0
Feb-09-2013,23.65,23.65,23.65,23.65,0,0
Feb-10-2013,23.9698,23.9698,23.9698,23.9698,0,0
Feb-11-2013,24.65,24.65,24.65,24.65,0,0
Feb-12-2013,25.1698,25.1698,25.1698,25.1698,0,0
Feb-13-2013,24.2,24.2,24.2,24.2,0,0
Feb-14-2013,27.2205,27.2205,27.2205,27.2205,0,0
Feb-15-2013,27.1,27.1,27.1,27.1,0,0
Feb-16-2013,27.2158,27.2158,27.2158,27.2158,0,0
Feb-17-2013,26.8146,26.8146,26.8146,26.8146,0,0
Feb-18-2013,26.95,26.95,26.95,26.95,0,0
Feb-19-2013,29.4176,29.4176,29.4176,29.4176,0,0
Feb-20-2013,29.645,29.645,29.645,29.645,0,0
Feb-21-2013,29.7477,29.7477,29.7477,29.7477,0,0
Feb-22-2013,30.2454,30.2454,30.2454,30.2454,0,0
Feb-23-2013,29.8,29.8,29.8,29.8,0,0
Feb-24-2013,29.89,29.89,29.89,29.89,0,0
Feb-25-2013,30.4,30.4,30.4,30.4,0,0
Feb-26-2013,31.1,31.1,31.1,31.1,0,0
Feb-27-2013,30.9012,30.9012,30.9012,30.9012,0,0
Feb-28-2013,33.38,33.38,33.38,33.38,0,0
Mar-01-2013,34.5,34.5,34.5,34.5,0,0
Mar-02-2013,34.25,34.25,34.25,34.25,0,0
Mar-03-2013,34.5,34.5,34.5,34.5,0,0
Mar-04-2013,36.152,36.152,36.152,36.152,0,0
Mar-05-2013,40.33,40.33,40.33,40.33,0,0
Mar-06-2013,41.0201,41.0201,41.0201,41.0201,0,0
Mar-07-2013,42,42,42,42,0,0
Mar-08-2013,44.18,44.18,44.18,44.18,0,0
Mar-09-2013,46.85,46.85,46.85,46.85,0,0
Mar-10-2013,46,46,46,46,0,0
