date,supply,daily_increase
2022-06-23,19074338.226744186,225.72674418613315
2022-06-23,19074564.970930234,226.7441860474646
2022-06-23,19074791.715116277,226.74418604373932
2022-06-24,19075018.459302325,226.7441860474646
2022-06-24,19075244.33139535,225.87209302559495
2022-06-24,19075471.075581394,226.74418604373932
2022-06-24,19075697.81976744,226.7441860474646
2022-06-25,19075924.56395349,226.7441860474646
2022-06-25,19076150.0,225.43604651093483
2022-06-25,19076375.0,225.0
2022-06-25,19076600.0,225.0
2022-06-26,19076825.0,225.0
2022-06-26,19077050.0,225.0
2022-06-26,19077275.0,225.0
2022-06-26,19077500.0,225.0
2022-06-27,19077725.0,225.0
2022-06-27,19077950.0,225.0
2022-06-27,19078175.0,225.0
2022-06-27,19078400.0,225.0
2022-06-28,19078625.0,225.0
2022-06-28,19078850.0,225.0
2022-06-28,19079075.0,225.0
2022-06-28,19079301.162790697,226.16279069706798
2022-06-29,19079527.906976745,226.7441860474646
2022-06-29,19079754.651162792,226.7441860474646
2022-06-29,19079981.25,226.5988372080028
2022-06-29,19080206.25,225.0
2022-06-30,19080431.25,225.0
2022-06-30,19080656.25,225.0
2022-06-30,19080881.25,225.0
2022-06-30,19081106.25,225.0
2022-06-30,19081331.25,225.0
2022-07-01,19081556.25,225.0
2022-07-01,19081781.25,225.0
2022-07-01,19082006.25,225.0
2022-07-01,19082231.25,225.0
2022-07-02,19082456.25,225.0
2022-07-02,19082681.25,225.0
2022-07-02,19082906.25,225.0
2022-07-03,19083131.25,225.0
2022-07-03,19083356.25,225.0
2022-07-03,19083581.25,225.0
2022-07-03,19083806.25,225.0
2022-07-03,19084031.25,225.0
2022-07-04,19084256.25,225.0
2022-07-04,19084481.25,225.0
2022-07-04,19084706.25,225.0
2022-07-04,19084931.25,225.0
2022-07-05,19085156.25,225.0
2022-07-05,19085381.25,225.0
2022-07-05,19085606.25,225.0
2022-07-06,19085831.25,225.0
2022-07-06,19086056.25,225.0
2022-07-06,19086281.25,225.0
2022-07-07,19086507.89728682,226.64728682115674
2022-07-07,19086734.64147287,226.7441860474646
2022-07-07,19086961.385658916,226.7441860474646
2022-07-07,19087187.5,226.11434108391404
2022-07-07,19087412.5,225.0
2022-07-08,19087637.5,225.0
2022-07-08,19087862.5,225.0
2022-07-08,19088087.5,225.0
2022-07-08,19088312.5,225.0
2022-07-09,19088537.645348836,225.1453488357365
2022-07-09,19088764.389534883,226.7441860474646
2022-07-09,19088991.13372093,226.7441860474646
2022-07-09,19089217.877906978,226.7441860474646
2022-07-10,19089443.75,225.87209302186966
2022-07-10,19089668.75,225.0
2022-07-10,19089893.75,225.0
2022-07-10,19090120.3003876,226.55038759857416
2022-07-11,19090347.044573642,226.74418604373932
2022-07-11,19090573.78875969,226.7441860474646
2022-07-11,19090800.0,226.2112403102219
2022-07-12,19091025.0,225.0
2022-07-12,19091250.0,225.0
2022-07-12,19091476.5503876,226.55038759857416
2022-07-12,19091703.294573642,226.74418604373932
2022-07-13,19091930.03875969,226.7441860474646
2022-07-13,19092156.25,226.2112403102219
2022-07-13,19092381.25,225.0
2022-07-14,19092606.25,225.0
2022-07-14,19092831.25,225.0
2022-07-14,19093056.25,225.0
2022-07-14,19093281.25,225.0
2022-07-15,19093506.25,225.0
2022-07-15,19093731.25,225.0
2022-07-15,19093956.25,225.0
2022-07-15,19094181.25,225.0
2022-07-16,19094406.25,225.0
2022-07-16,19094631.25,225.0
2022-07-16,19094856.25,225.0
2022-07-16,19095081.25,225.0
2022-07-17,19095307.122093022,225.87209302186966
2022-07-17,19095533.86627907,226.7441860474646
2022-07-17,19095761.434108526,227.56782945618033
2022-07-18,19095989.92248062,228.48837209492922
2022-07-18,19096216.812015504,226.88953488320112
